name,price,original_price,cost,category,sub_category,icon,stock,sku,supplier_id,description,tags,brand,image_url,image_urls,is_b2b,moq,tax_mode
Ralph Lauren Polo Green Edt M 118Ml,92.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-204,9001,Ralph Lauren Polo Green Edt M 118Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care"",""ralph-lauren-polo-green-edt-m-118ml""}",RALPH LAUREN,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3360372012825.jpg?v=1632643897,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3360372012825.jpg?v=1632643897""}",false,1,none
Paco Rabbane 1 Million Edt M 100Ml,85.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-210,9001,Paco Rabbane 1 Million Edt M 100Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""paco-rabbane-1-million-edt-m-100ml"",""Paco_Rabbane"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",PACO RABANNE,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3349668581948.jpg?v=1632643744,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3349668581948.jpg?v=1632643744""}",false,1,none
Dior Sauvage Parfumm 200Ml,180.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-224,9001,Dior Sauvage Parfumm 200Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""dior-sauvage-parfumm-200ml"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",DIOR,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3348901486385.jpg?v=1632643627,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3348901486385.jpg?v=1632643627"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3348901428545--1.jpg?v=1632643627""}",false,1,none
Allure Sport Extreme 100Ml Edp Spray,190.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-266,9001,Allure Sport Extreme 100Ml Edp Spray. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""allure-sport-extreme-100ml-edp-spray"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",CHANEL,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3145891236309.jpg?v=1632643531,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3145891236309.jpg?v=1632643531"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3145891236309--1.jpg?v=1632643531""}",false,1,none
Bvlgari Aqua Marine M Edt 100Ml,100.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-20,9001,Bvlgari Aqua Marine M Edt 100Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""bvlgari-aqua-marine-m-edt-100ml"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",BVLGARI,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/NewProject_18.png?v=1716456943,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/NewProject_18.png?v=1716456943"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/783320403200---1.jpg?v=1716456943""}",false,1,none
Al Wisam Pour Homme EAU DE Parfum 100ML,32.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-319,9001,Al Wisam Pour Homme EAU DE Parfum 100ML. Available at Adeeg Market.,"{""al-wisam-pour-homme-eau-de-parfum-100ml"",""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",RASASI,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/614514170021.jpg?v=1632642766,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/614514170021.jpg?v=1632642766"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/614514170021_1.jpg?v=1632642766""}",false,1,none
White Kidney Beans 1Kg,3.50,0.00,0.00,food,beverages,🍎,100,130507,9001,White Kidney Beans 1Kg. Available at Adeeg Market.,"{""all_roastery"",""desserts_dates_dry_fruits"",""digir"",""white_kidney_beans""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat11.jpg?v=1632816140,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat11.jpg?v=1632816140""}",false,1,none
PISTACHIO LEMON 1KG,15.00,0.00,0.00,food,beverages,🍎,100,130270,9001,PISTACHIO LEMON 1KG. Available at Adeeg Market.,"{""desserts_dates_dry_fruits"",""nuts_and_dry_fruits"",""pistachios_lemon""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat5.jpg?v=1632810822,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat5.jpg?v=1632810822""}",false,1,none
Masoor Dal Sortex Premium Quality 1 Kg,2.00,0.00,0.00,food,beverages,🍎,100,130503,9001,Masoor Dal Sortex Premium Quality 1 Kg. Available at Adeeg Market.,"{""all_roastery"",""desserts_dates_dry_fruits"",""masoor_dal_sortex""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat14.jpg?v=1632817850,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat14.jpg?v=1632817850""}",false,1,none
Masago 1 Kg,1.20,0.00,0.00,food,beverages,🍎,100,130271,9001,Masago 1 Kg. Available at Adeeg Market.,"{""all_roastery"",""desserts_dates_dry_fruits"",""masago""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat2.jpg?v=1632810315,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat2.jpg?v=1632810315""}",false,1,none
